school,schoolId,handle,sponsoredPosts,highConfidenceFlags,mediumConfidenceFlags
"Arizona","arizona","arizona.threads",35,"nil_collective_or_store","school_affiliated_non_brand_possible|likely_personal_account"
"Arizona","arizona","postgame.official",4,"known_non_brand",""
"Arizona","arizona","arizonamgolf",3,"team_or_school_page",""
"Arizona","arizona","arizonatrack",3,"team_or_school_page",""
"Arizona","arizona","arizonabeachvolleyball",2,"team_or_school_page",""
"Arizona","arizona","arizonasoccer",2,"team_or_school_page",""
"Arizona","arizona","arizonatriathlon",2,"team_or_school_page",""
"Arizona","arizona","arizonawildcats",2,"","school_affiliated_non_brand_possible"
"Arizona","arizona","athletesthread",2,"nil_collective_or_store",""
"Arizona","arizona","gat_sport",2,"","likely_personal_account"
"Arizona","arizona","adidasbasketball",1,"team_or_school_page",""
"Arizona","arizona","arizonagymcats",1,"team_or_school_page",""
"Arizona","arizona","arizonambb",1,"team_or_school_page",""
"Arizona","arizona","arizonavolleyball",1,"team_or_school_page",""
"Arizona","arizona","arizonawgolf",1,"team_or_school_page",""
"Arizona","arizona","dmnd.mgmt",1,"","likely_personal_account"
"Arizona","arizona","drink_phx",1,"","likely_personal_account"
"Arizona","arizona","ignis_clothing",1,"","likely_personal_account"
"Arizona","arizona","jlin.brand",1,"","likely_personal_account"
"Arizona","arizona","myplayerathlete",1,"nil_collective_or_store",""
"Arizona","arizona","nextoffermedia",1,"","recruiting_or_media_page"
"Arizona","arizona","nicks.us",1,"","likely_personal_account"
"Arizona","arizona","optic_ink",1,"","likely_personal_account"
"Arizona","arizona","team_mzansi",1,"","likely_personal_account"
"Arizona","arizona","texasstatethreads",1,"nil_collective_or_store",""
"Arizona","arizona","that.triathlonlife",1,"","likely_personal_account"
"Arizona","arizona","uarizona",1,"","school_affiliated_non_brand_possible"
"Arizona","arizona","varlo.apparel",1,"","likely_personal_account"
"Boise State","boise-state","boisestatethreads",13,"nil_collective_or_store","school_affiliated_non_brand_possible"
"Boise State","boise-state","lithiafordboise",7,"","school_affiliated_non_brand_possible"
"Boise State","boise-state","broncosports",6,"","school_affiliated_non_brand_possible"
"Boise State","boise-state","myplayersports",6,"nil_collective_or_store",""
"Boise State","boise-state","no.rivals.brand",5,"recruiting_or_media_page",""
"Boise State","boise-state","myplayerathlete",4,"nil_collective_or_store",""
"Boise State","boise-state","plunj_boise",4,"","school_affiliated_non_brand_possible|likely_personal_account"
"Boise State","boise-state","postgame.official",4,"known_non_brand",""
"Boise State","boise-state","boisesportstalk",3,"","school_affiliated_non_brand_possible"
"Boise State","boise-state","boisestatebroncos",3,"","school_affiliated_non_brand_possible"
"Boise State","boise-state","hotworxboise",3,"","school_affiliated_non_brand_possible"
"Boise State","boise-state","stretchlabboise",3,"","school_affiliated_non_brand_possible"
"Boise State","boise-state","wellah.nutrition",3,"","likely_personal_account"
"Boise State","boise-state","blazepod",2,"","recruiting_or_media_page"
"Boise State","boise-state","g4_collective",2,"nil_collective_or_store",""
"Boise State","boise-state","gat_sport",2,"","likely_personal_account"
"Boise State","boise-state","influxer",2,"nil_collective_or_store",""
"Boise State","boise-state","influxerboisestate",2,"nil_collective_or_store","school_affiliated_non_brand_possible"
"Boise State","boise-state","lookout.cu",2,"","likely_personal_account"
"Boise State","boise-state","twentyfou_urbanwear",2,"","likely_personal_account"
"Boise State","boise-state","verlo.boise",2,"","school_affiliated_non_brand_possible|likely_personal_account"
"Boise State","boise-state","yogasix_idaho",2,"","likely_personal_account"
"Boise State","boise-state","baconboise",1,"","school_affiliated_non_brand_possible"
"Boise State","boise-state","braven.bar",1,"","likely_personal_account"
"Boise State","boise-state","dactive_nsg",1,"","likely_personal_account"
"Boise State","boise-state","deckiez_pouches",1,"","likely_personal_account"
"Boise State","boise-state","drink_uphill",1,"","likely_personal_account"
"Boise State","boise-state","facefoundrieboise",1,"","school_affiliated_non_brand_possible"
"Boise State","boise-state","hallee_heath",1,"","likely_personal_account"
"Boise State","boise-state","hiveandcoboise",1,"","school_affiliated_non_brand_possible"
"Boise State","boise-state","kage_casey",1,"","likely_personal_account"
"Boise State","boise-state","lithiaboise",1,"","school_affiliated_non_brand_possible"
"Boise State","boise-state","petersonbmwboise",1,"","school_affiliated_non_brand_possible"
"Boise State","boise-state","plunjboise",1,"","school_affiliated_non_brand_possible"
"Boise State","boise-state","serve_clothing",1,"","likely_personal_account"
"Boise State","boise-state","skylar.stroh",1,"","likely_personal_account"
"Boise State","boise-state","thejamesboise",1,"","school_affiliated_non_brand_possible"
"Boise State","boise-state","tiy_products",1,"","likely_personal_account"
"Boise State","boise-state","verveboise",1,"","school_affiliated_non_brand_possible"
"Boise State","boise-state","villasportfitness_idaho",1,"","likely_personal_account"
"Boise State","boise-state","westernstates.cat",1,"","likely_personal_account"
"LSU","lsu","lsuthreads",14,"nil_collective_or_store","school_affiliated_non_brand_possible"
"LSU","lsu","athletesthread",4,"nil_collective_or_store",""
"LSU","lsu","myplayerathlete",4,"nil_collective_or_store",""
"LSU","lsu","nilelite.ladies",4,"nil_collective_or_store","likely_personal_account"
"LSU","lsu","geauxchiro",3,"","school_affiliated_non_brand_possible"
"LSU","lsu","myplayersports",3,"nil_collective_or_store",""
"LSU","lsu","postgame.official",3,"known_non_brand",""
"LSU","lsu","influxer",2,"nil_collective_or_store",""
"LSU","lsu","influxerlsu",2,"nil_collective_or_store","school_affiliated_non_brand_possible"
"LSU","lsu","lsu.nil.store",2,"nil_collective_or_store","school_affiliated_non_brand_possible"
"LSU","lsu","lsufootball",2,"team_or_school_page",""
"LSU","lsu","puma.usa",2,"","likely_personal_account"
"LSU","lsu","alixmarie.franklin",1,"","likely_personal_account"
"LSU","lsu","baller.bites",1,"","likely_personal_account"
"LSU","lsu","bayouwildtv",1,"","school_affiliated_non_brand_possible"
"LSU","lsu","ciella_pickett",1,"","likely_personal_account"
"LSU","lsu","darkhorse.nyc",1,"","likely_personal_account"
"LSU","lsu","dillardscampuscollective",1,"nil_collective_or_store",""
"LSU","lsu","geeked.studio",1,"","likely_personal_account"
"LSU","lsu","his_huddle",1,"","likely_personal_account"
"LSU","lsu","holy.athletes",1,"","likely_personal_account"
"LSU","lsu","jolyn_europe",1,"","likely_personal_account"
"LSU","lsu","lah.stamps",1,"","likely_personal_account"
"LSU","lsu","lsubeachvb",1,"team_or_school_page",""
"LSU","lsu","lsusoccer",1,"team_or_school_page",""
"LSU","lsu","lsusoftball",1,"team_or_school_page",""
"LSU","lsu","lsuwbkb",1,"","school_affiliated_non_brand_possible"
"LSU","lsu","myplayersoftball",1,"nil_collective_or_store",""
"LSU","lsu","on3recruits",1,"known_non_brand|recruiting_or_media_page",""
"LSU","lsu","pearl_valley",1,"","likely_personal_account"
"LSU","lsu","perceptioncollective",1,"nil_collective_or_store",""
"LSU","lsu","prepbaseball",1,"team_or_school_page",""
"LSU","lsu","rumur.rouille",1,"","likely_personal_account"
"LSU","lsu","thebrandlsu",1,"","school_affiliated_non_brand_possible"
"LSU","lsu","themodestsportsshow",1,"","recruiting_or_media_page"
"LSU","lsu","thriveh.ts",1,"","likely_personal_account"
"LSU","lsu","trent.caraway",1,"","likely_personal_account"
"LSU","lsu","vine_spirit",1,"","likely_personal_account"
"LSU","lsu","voyager_brands",1,"","likely_personal_account"
"LSU","lsu","wearenilsu",1,"nil_collective_or_store","school_affiliated_non_brand_possible"
"LSU","lsu","yurview_louisiana",1,"","likely_personal_account"
"Michigan State","michigan-state","msufcu",54,"","school_affiliated_non_brand_possible"
"Michigan State","michigan-state","postgame.official",14,"known_non_brand",""
"Michigan State","michigan-state","msuthread",12,"","school_affiliated_non_brand_possible"
"Michigan State","michigan-state","myplayersports",6,"nil_collective_or_store",""
"Michigan State","michigan-state","msu.nil.store",4,"nil_collective_or_store","school_affiliated_non_brand_possible"
"Michigan State","michigan-state","myplayerathlete",4,"nil_collective_or_store",""
"Michigan State","michigan-state","msu_football",2,"team_or_school_page","likely_personal_account"
"Michigan State","michigan-state","allthingsgympod",1,"","recruiting_or_media_page"
"Michigan State","michigan-state","alumnihallmsu",1,"","school_affiliated_non_brand_possible"
"Michigan State","michigan-state","athletesthread",1,"nil_collective_or_store",""
"Michigan State","michigan-state","gat_sport",1,"","likely_personal_account"
"Michigan State","michigan-state","josh.klug4",1,"","likely_personal_account"
"Michigan State","michigan-state","nil.store___",1,"nil_collective_or_store",""
"Michigan State","michigan-state","on3recruits",1,"known_non_brand|recruiting_or_media_page",""
"Michigan State","michigan-state","recruitgfx",1,"recruiting_or_media_page",""
"Michigan State","michigan-state","riot.energy",1,"","likely_personal_account"
"NC State","nc-state","ncsu.threads",4,"nil_collective_or_store","school_affiliated_non_brand_possible|likely_personal_account"
"NC State","nc-state","influxer",3,"nil_collective_or_store",""
"NC State","nc-state","duke_energy",2,"","likely_personal_account"
"NC State","nc-state","athletesthread",1,"nil_collective_or_store",""
"NC State","nc-state","bp_zones",1,"","likely_personal_account"
"NC State","nc-state","gen_carync",1,"","likely_personal_account"
"NC State","nc-state","influxermerch",1,"nil_collective_or_store",""
"NC State","nc-state","myplayersports",1,"nil_collective_or_store",""
"NC State","nc-state","noracafe_nc",1,"","likely_personal_account"
"NC State","nc-state","postgame.official",1,"known_non_brand",""
"Old Dominion","old-dominion","olddominionthreads",23,"nil_collective_or_store","school_affiliated_non_brand_possible"
"Old Dominion","old-dominion","prideofodunil",5,"nil_collective_or_store","school_affiliated_non_brand_possible"
"Old Dominion","old-dominion","odu_nilhub",2,"nil_collective_or_store","school_affiliated_non_brand_possible|likely_personal_account"
