action,player_name,from_school,to_school,notes
remove,Brandon Solis,University of Missouri,Lipscomb Academy,Transferred out
remove,Robby Meyer,University of Missouri,Colfax,Transferred out
remove,Shamar McNeil,University of Missouri,American Heritage,Transferred out
remove,Jaylen Early,University of Missouri,Duncanville,Transferred out
remove,Tavorus Jones,University of Missouri,Burges,Transferred out
remove,Justin Bodford,University of Missouri,Western,Transferred out
remove,Brendon Haygood,University of Missouri,Sachse,Transferred out
remove,Daniel Blood,University of Missouri,Destrehan,Transferred out
remove,Johnny Williams IV,University of Missouri,Northeast,Transferred out
remove,James Madison II,University of Missouri,St. Thomas Aquinas,Transferred out
remove,Josh Manning,University of Missouri,Kansas State,Transferred out
remove,Henry Fenuku,University of Missouri,North Crowley,Transferred out
remove,Javion Hilson,University of Missouri,Cocoa,Transferred out
remove,Caleb Flagg,University of Missouri,North Shore,Transferred out
add,Brandon Solis,Lipscomb Academy,University of Missouri,Transferred in
add,Cayden Lee,Ole Miss,University of Missouri,Transferred in
add,Bobby Washington Jr.,Miami,University of Missouri,Transferred in
add,Malik Bryant,Miami,University of Missouri,Transferred in
add,Robby Meyer,Colfax,University of Missouri,Transferred in
add,Chris Graves Jr.,Ole Miss,University of Missouri,Transferred in
add,Zack Owens,Mississippi State,University of Missouri,Transferred in
add,Tavorus Jones,Burges,University of Missouri,Transferred in
add,C.J. May,Louisville,University of Missouri,Transferred in
add,Mark Shenouda,Tennessee St.,University of Missouri,Transferred in
add,Colin Sorensen,Charleston Southern,University of Missouri,Transferred in
add,Malae Fonoti III,Montana,University of Missouri,Transferred in
add,Justin Bodford,Florida,University of Missouri,Transferred in
add,Sione Laulea,Oregon,University of Missouri,Transferred in
add,Nick Evers,UConn,University of Missouri,Transferred in
add,Brunno Reus,Florida State,University of Missouri,Transferred in
add,Donta Simpson,Miami,University of Missouri,Transferred in
add,Jaden Jones,Florida State,University of Missouri,Transferred in
add,Brendon Haygood,Sachse,University of Missouri,Transferred in
add,Daniel Blood,Destrehan,University of Missouri,Transferred in
add,Johnny Williams IV,Northeast,University of Missouri,Transferred in
add,James Madison II,St. Thomas Aquinas,University of Missouri,Transferred in
add,Josh Atkins,Arizona State,University of Missouri,Transferred in
add,Luke Work,Mississippi State,University of Missouri,Transferred in
add,Kensley Louidor-Faustin,Auburn,University of Missouri,Transferred in
add,Cavan Tuley,Tomball,University of Missouri,Transferred in
add,Shamar McNeil,American Heritage,University of Missouri,Transferred in
add,Jaylen Early,Duncanville,University of Missouri,Transferred in
add,Henry Fenuku,North Crowley,University of Missouri,Transferred in
add,JaDon Blair,Mount Tabor,University of Missouri,Transferred in
add,Xai'Shaun Edwards,Clear Springs,University of Missouri,Transferred in
add,Austin Simmons,Moore Haven Junior/Senior,University of Missouri,Transferred in
add,Javion Hilson,Cocola,University of Missouri,Transferred in
add,Robert Woodyard Jr.,Williamson,University of Missouri,Transferred in
add,Caleb Goodie,Memorial,University of Missouri,Transferred in
add,Jahlil Florence,Lincoln,University of Missouri,Transferred in
