handle,total_posts,school_count,flags,schools
"@hollister",63,8,"","Baylor | Louisiana State University | Michigan State | Penn State University | Texas A&M | University of Maryland | University of Texas at San Antonio (UTSA) | University of Virginia"
"@baylorthreads",62,1,"","Baylor"
"@msufcu",54,1,"","Michigan State"
"@CVSPharmacy",47,10,"","Auburn University | Baylor | Louisiana State University | Michigan State | Penn State University | Texas A&M | University of Maryland | University of Nebraska | University of Texas at San Antonio (UTSA) | University of Virginia"
"@auburnthread",37,1,"","Auburn University"
"@aggie.threads",36,1,"","Texas A&M"
"@myplayerathlete",34,8,"","Baylor | Louisiana State University | Michigan State | Penn State University | University of Maryland | University of Nebraska | University of Texas at San Antonio (UTSA) | University of Virginia"
"@nike",34,6,"","Auburn University | Baylor | Louisiana State University | Penn State University | University of Texas at San Antonio (UTSA) | University of Virginia"
"@postgame.official",32,8,"","Auburn University | Baylor | Louisiana State University | Michigan State | Texas A&M | University of Maryland | University of Nebraska | University of Texas at San Antonio (UTSA)"
"@myplayersports",31,8,"","Louisiana State University | Michigan State | Penn State University | Texas A&M | University of Central Florida | University of Maryland | University of Nebraska | University of Texas at San Antonio (UTSA)"
"@nebraskathread",29,1,"","University of Nebraska"
"@C4Energy",27,6,"","Auburn University | Baylor | Michigan State | Penn State University | Texas A&M | University of Nebraska"
"@adidas",26,5,"","Baylor | Old Dominion University | Texas A&M | University of Nebraska | University of Virginia"
"@drinkolipop",25,5,"","Baylor | Texas A&M | University of Central Florida | University of Texas at San Antonio (UTSA) | University of Virginia"
"@ucfthreads",24,1,"","University of Central Florida"
"@olddominionthreads",23,1,"","Old Dominion University"
"@underarmour",23,5,"","Auburn University | Old Dominion University | Penn State University | University of Maryland | University of Nebraska"
"OnToVictory",22,1,"","Auburn University"
"@dillards",20,2,"","Auburn University | Louisiana State University"
"@chicknlegsrunning",19,1,"","Penn State University"
"@utsathreads",19,1,"","University of Texas at San Antonio (UTSA)"
"@vuoriclothing",19,5,"","Auburn University | Baylor | University of Central Florida | University of Maryland | University of Nebraska"
"@influxer",18,4,"","Louisiana State University | University of Central Florida | University of Texas at San Antonio (UTSA) | University of Virginia"
"@charitablegiftamerica",16,1,"","Michigan State"
"@raisingcanes",16,6,"","Baylor | Louisiana State University | Penn State University | University of Central Florida | University of Maryland | University of Virginia"
"@athletesthread",15,5,"","Auburn University | Baylor | Louisiana State University | Michigan State | University of Nebraska"
"@nittanylionthreads",15,1,"","Penn State University"
"@lsuthreads",14,1,"","Louisiana State University"
"@onlyfreshdesigns",14,4,"","Old Dominion University | University of Central Florida | University of Texas at San Antonio (UTSA) | University of Virginia"
"@teamvktry",14,3,"","Baylor | Louisiana State University | University of Nebraska"
"@cavfutures",13,1,"","University of Virginia"
"@nobull",13,1,"","University of Central Florida"
"@brooksrunning",12,4,"","Louisiana State University | Penn State University | Texas A&M | University of Virginia"
"@gxgelite",12,1,"","Baylor"
"@influxeruva",12,1,"","University of Virginia"
"@marylandthreadss",12,1,"","University of Maryland"
"@msuthread",12,1,"","Michigan State"
"@planetfitness",12,1,"","Penn State University"
"@rhoback",12,4,"","Penn State University | Texas A&M | University of Texas at San Antonio (UTSA) | University of Virginia"
"@seatgeek",12,5,"","Auburn University | Louisiana State University | Michigan State | Texas A&M | University of Nebraska"
"@dominionenergy",11,1,"","University of Virginia"
"@getgordon",11,1,"","Louisiana State University"
"@uvathreads",11,1,"","University of Virginia"
"@easportscollege",10,6,"","Auburn University | Louisiana State University | Old Dominion University | Texas A&M | University of Texas at San Antonio (UTSA) | University of Virginia"
"@ipsy",10,1,"","University of Nebraska"
"@murryave",10,3,"","Michigan State | Penn State University | University of Maryland"
"@shop.abide",10,1,"","Auburn University"
"12thmanfoundation",10,1,"likely_agency_or_collective","Texas A&M"
"@cornermediaco",9,1,"likely_media_or_publisher","University of Virginia"
"@dickssportinggoods",9,2,"","Louisiana State University | University of Virginia"
"@hydroflask",9,5,"","Louisiana State University | Penn State University | Texas A&M | University of Nebraska | University of Texas at San Antonio (UTSA)"
"@mommagoldbergs",9,1,"","Auburn University"
"terpswbb",9,1,"likely_team_page","University of Maryland"
"@adidasusfootball",8,1,"","Texas A&M"
"@coach",8,6,"","Auburn University | Baylor | Louisiana State University | Michigan State | University of Maryland | University of Nebraska"
"@drinkagame",8,2,"","Auburn University | Louisiana State University"
"@nfmpics",8,2,"","University of Nebraska | Wichita State University"
"@on3recruits",8,7,"likely_media_or_publisher","Auburn University | Baylor | Louisiana State University | Michigan State | Penn State University | University of Maryland | University of Nebraska"
"@runzarestaurants",8,1,"","University of Nebraska"
"OnToVictory.com",8,1,"","Auburn University"
"@7eleven",7,3,"","Penn State University | Texas A&M | University of Virginia"
"@chickennpicklesat",7,1,"","University of Texas at San Antonio (UTSA)"
"@crocs",7,4,"","Auburn University | Louisiana State University | University of Maryland | University of Virginia"
"@drinkbubblr",7,4,"","Baylor | Penn State University | University of Maryland | University of Nebraska"
"@nilelite.ladies",7,3,"likely_agency_or_collective","Baylor | Louisiana State University | University of Virginia"
"@nocco.usa",7,3,"","Baylor | University of Central Florida | University of Texas at San Antonio (UTSA)"
"@velvetpeanutbutter",7,1,"","Michigan State"
